"codigo","nombre","codigo_departamento"
5481,"TIBU",54
5482,"TOLEDO",54
5483,"NARIÑO",5
5495,"NECHI",5
5501,"OLAYA",5
5541,"PEÑOL",5
5543,"PEQUE",5
5576,"PUEBLORRICO",5
5579,"PUERTO BERRIO",5
5585,"PUERTO NARE (LA MAGDALENA )",5
5591,"PUERTO TRIUNFO",5
5604,"REMEDIOS",5
5607,"RETIRO",5
5615,"RIONEGRO",5
5628,"SABANALARGA",5
5631,"SABANETA",5
5642,"SALGAR",5
5647,"SAN ANDRES",5
5649,"SAN CARLOS",5
5652,"SAN FRANCISCO",5
5656,"SAN JERONIMO",5
5658,"SAN JOSE DE LA MONTANA",5
5659,"SAN JUAN DE URABA",5
5664,"SAN PEDRO",5
5665,"SAN PEDRO DE URABA",5
5667,"SAN RAFAEL",5
5674,"SAN VICENTE",5
5679,"SANTA BARBARA",5
5686,"SANTA ROSA DE OSOS",5
5697,"SANTUARIO",5
5736,"SEGOVIA",5
5756,"SONSON",5
5761,"SOPETRAN",5
5789,"TAMESIS",5
5792,"TARSO",5
5809,"TITIRIBI",5
5819,"TOLEDO",5
5837,"TURBO",5
5842,"URAMITA",5
5847,"URRAO",5
5854,"VALDIVIA",5
5856,"VALPARAISO",5
5858,"VEGACHI",5
5861,"VENECIA",5
5873,"VIGIA DEL FUERTE",5
5885,"YALI",5
5887,"YARUMAL",5
5893,"YONDO (CASABE)",5
5895,"ZARAGOZA",5
6313,"CALARCA",63
6319,"CIRCASIA",63
6347,"MONTENEGRO",63
6369,"SALENTO",63
6617,"DOSQUEBRADAS",66
6644,"MARSELLA",66
6802,"ALBANIA",68
6816,"CEPITA",68
6819,"CIMITARRA",68
6825,"EL PEÑON",68
6872,"SANTA HELENA DEL OPON",68
6877,"SUAITA",68
6878,"SURATA",68
6882,"TONA",68
7011,"BUENAVISTA",70
7023,"CHALAN",70
7067,"SAMPUES",70
7082,"TOLU",70
7303,"AMBALEMA",73
7327,"FALAN",73
7352,"PALOCABILDO",73
7377,"SUAREZ",73
7387,"VILLAHERMOSA",73
7602,"ALCALA",76
7613,"CANDELARIA",76
7625,"EL DOVIO",76
7652,"PALMIRA",76
7667,"SAN PEDRO",76
7689,"YOTOCO",76
8001,"BARRANQUILLA",8
8078,"BARANOA",8
8137,"CAMPO DE LA CRUZ",8
8141,"CANDELARIA",8
8296,"GALAPA",8
8372,"JUAN DE ACOSTA",8
8421,"LURUACO",8
8433,"MALAMBO",8
8436,"MANATI",8
8501,"AGUAZUL",85
8523,"OROCUE",85
8525,"PAZ DE ARIPORO",85
8541,"TAURAMENA",85
8543,"TRINIDAD",85
8544,"VILLANUEVA",85
8549,"PIOJO",8
8558,"POLO NUEVO",8
8573,"PUERTO COLOMBIA",8
8606,"REPELON",8
8632,"ORITO",86
8634,"SABANAGRANDE",8
8638,"SABANALARGA",8
8675,"SANTA LUCIA",8
8676,"SANTIAGO",86
8685,"SANTO TOMAS",8
8758,"SOLEDAD",8
8832,"TUBARA",8
8849,"USIACURI",8
9154,"PUERTO NARIÑO",91
11001,"BOGOTA",25
13001,"CARTAGENA",13
13006,"ACHI",13
13042,"ARENAL",13
13052,"ARJONA",13
13062,"ARROYOHONDO",13
13074,"BARRANCO DE LOBA",13
13188,"CICUCO",13
13212,"CORDOBA",13
13222,"CLEMENCIA",13
13244,"EL CARMEN DE BOLIVAR",13
13248,"EL GUAMO",13
13268,"EL PEÑON",13
13433,"MAHATES",13
13442,"MARIA LA BAJA",13
13458,"MONTECRISTO",13
13468,"MOMPOS",13
13473,"MORALES",13
13549,"PINILLOS",13
13647,"SAN ESTANISLAO",13
13654,"SAN JACINTO",13
13655,"SAN JACINTO DEL CAUCA",13
13657,"SAN JUAN NEPOMUCENO",13
13667,"SAN MARTIN DE LOBA",13
13673,"SANTA CATALINA",13
13683,"SANTA ROSA",13
13688,"SANTA ROSA DEL SUR",13
13744,"SIMITI",13
13836,"TURBACO",13
13838,"TURBANA",13
13873,"VILLANUEVA",13
13894,"ZAMBRANO",13
15001,"TUNJA",15
15047,"AQUITANIA",15
15051,"ARCABUCO",15
15087,"BELEN",15
15097,"BOAVITA",15
15104,"BOYACA",15
15106,"BRICENO",15
15109,"BUENAVISTA",15
15114,"BUSBANZA",15
15131,"CALDAS",15
15162,"CERINZA",15
15176,"CHIQUINQUIRA",15
15183,"CHITA",15
15185,"CHITARAQUE",15
15187,"CHIVATA",15
15189,"CIENEGA",15
15204,"COMBITA",15
15212,"COPER",15
15215,"CORRALES",15
15218,"COVARACHIA",15
15223,"CUBARA",15
15224,"CUCAITA",15
15226,"CUITIVA",15
15232,"CHIQUIZA",15
15238,"DUITAMA",15
15244,"EL COCUY",15
15248,"EL ESPINO",15
15272,"FIRAVITOBA",15
15276,"FLORESTA",15
15293,"GACHANTIVA",15
15296,"GAMEZA",15
15299,"GARAGOA",15
15317,"GUACAMAYAS",15
15322,"GUATEQUE",15
15325,"GUAYATA",15
15362,"IZA",15
15367,"JENESANO",15
15368,"JERICO",15
15403,"LA UVITA",15
15407,"VILLA DE LEYVA",15
15442,"MARIPI",15
15455,"MIRAFLORES",15
15464,"MONGUA",15
15466,"MONGUI",15
15469,"MONIQUIRA",15
15476,"MOTAVITA",15
15491,"NOBSA",15
15494,"NUEVO COLON",15
15507,"OTANCHE",15
15511,"PACHAVITA",15
15516,"PAIPA",15
15518,"PAJARITO",15
15522,"PANQUEBA",15
15531,"PAUNA",15
15533,"PAYA",15
15537,"PAZ DE RIO",15
15542,"PESCA",15
15572,"PUERTO BOYACA",15
15599,"RAMIRIQUI",15
15632,"SABOYA",15
15638,"SACHICA",15
15646,"SAMACA",15
15664,"SAN JOSE DE PARE",15
15667,"SAN LUIS DE GACENO",15
15676,"SAN MIGUEL DE SEMA",15
15681,"SAN PABLO DE BORBUR",15
15686,"SANTANA",15
15693,"SANTA ROSA DE VITERBO",15
15696,"SANTA SOFIA",15
15723,"SATIVASUR",15
15753,"SOATA",15
15755,"SOCOTA",15
15757,"SOCHA",15
15759,"SOGAMOSO",15
15762,"SORA",15
15763,"SOTAQUIRA",15
15764,"SORACA",15
15774,"SUSACON",15
15776,"SUTAMARCHAN",15
15778,"SUTATENZA",15
15798,"TENZA",15
15804,"TIBANA",15
15806,"TIBASOSA",15
15808,"TINJACA",15
15814,"TOCA",15
15816,"TOGUI",15
15822,"TOTA",15
15832,"TUNUNGUA",15
15835,"TURMEQUE",15
15837,"TUTA",15
15839,"TUTAZA",15
15842,"UMBITA",15
15861,"VENTAQUEMADA",15
15879,"VIRACACHA",15
15897,"ZETAQUIRA",15
17001,"MANIZALES",17
17013,"AGUADAS",17
17042,"ANSERMA",17
17088,"BELALCAZAR",17
17174,"CHINCHINA",17
17272,"FILADELFIA",17
17388,"LA MERCED",17
17433,"MANZANARES",17
17442,"MARMATO",17
17444,"MARQUETALIA",17
17446,"MARULANDA",17
17486,"NEIRA",17
17495,"NORCASIA",17
17513,"PACORA",17
17524,"PALESTINA",17
17541,"PENSILVANIA",17
17614,"RIOSUCIO",17
17616,"RISARALDA",17
17653,"SALAMINA",17
17662,"SAMANA",17
17665,"SAN JOSE",17
17777,"SUPIA",17
17867,"VICTORIA",17
17873,"VILLAMARIA",17
17877,"VITERBO",17
18001,"FLORENCIA",18
18029,"ALBANIA",18
18094,"BELEN DE LOS ANDAQUIES",18
18205,"CURILLO",18
18247,"EL DONCELLO",18
18256,"EL PAUJIL",18
18479,"MORELIA",18
18592,"PUERTO RICO",18
18753,"SAN VICENTE DEL CAGUAN",18
18756,"SOLANO",18
18785,"SOLITA",18
19001,"POPAYAN",19
19075,"BALBOA",19
19137,"CALDONO",19
19142,"CALOTO",19
19212,"CORINTO",19
19256,"EL TAMBO",19
19318,"GUAPI",19
19355,"INZA",19
19364,"JAMBALO",19
19392,"LA SIERRA",19
19397,"LA VEGA",19
19418,"LOPEZ (MICAY)",19
19455,"MIRANDA",19
19473,"MORALES",19
19513,"PADILLA",19
19517,"PAEZ",19
19532,"PATIA (EL BORDO)",19
19533,"PIAMONTE",19
19548,"PIENDAMO",19
19573,"PUERTO TEJADA",19
19585,"PURACE",19
19622,"ROSAS",19
19693,"SAN SEBASTIAN",19
19698,"SANTANDER DE QUILICHAO",19
19701,"SANTA ROSA",19
19743,"SILVIA",19
19785,"SUCRE",19
19807,"TIMBIO",19
19809,"TIMBIQUI",19
19821,"TORIBIO",19
19824,"TOTORO",19
19845,"VILLARICA",19
20001,"VALLEDUPAR",20
20011,"AGUACHICA",20
20013,"AGUSTIN CODAZZI",20
20032,"ASTREA",20
20045,"BECERRIL",20
20175,"CHIMICHAGUA",20
20178,"CHIRIGUANA",20
20228,"CURUMANI",20
20238,"EL COPEY",20
20295,"GAMARRA",20
20383,"LA GLORIA",20
20443,"MANAURE BALCON DEL CESAR",20
20517,"PAILITAS",20
20614,"RIO DE ORO",20
20621,"ROBLES (LA PAZ)",20
20787,"TAMALAMEQUE",20
23001,"MONTERIA",23
23068,"AYAPEL",23
23079,"BUENAVISTA",23
23162,"CERETE",23
23168,"CHIMA",23
23182,"CHINU",23
23189,"CIENAGA DE ORO",23
23417,"LORICA",23
23419,"LOS CORDOBAS",23
23464,"MOMIL",23
23466,"MONTELIBANO",23
23555,"PLANETA RICA",23
23574,"PUERTO ESCONDIDO",23
23586,"PURISIMA",23
23672,"SAN ANTERO",23
23675,"SAN BERNARDO DEL VIENTO",23
23678,"SAN CARLOS",23
23682,"SAN JOSE DE URE",23
23686,"SAN PELAYO",23
23807,"TIERRALTA",23
23815,"TUCHIN",23
23855,"VALENCIA",23
25001,"AGUA DE DIOS",25
25019,"ALBAN",25
25035,"ANAPOIMA",25
25053,"ARBELAEZ",25
25086,"BELTRAN",25
25095,"BITUIMA",25
25099,"BOJACA",25
25123,"CACHIPAY",25
25126,"CAJICA",25
25148,"CAPARRAPI",25
25151,"CAQUEZA",25
25154,"CARMEN DE CARUPA",25
25175,"CHIA",25
25178,"CHIPAQUE",25
25181,"CHOACHI",25
25183,"CHOCONTA",25
25214,"COTA",25
25224,"CUCUNUBA",25
25245,"EL COLEGIO",25
25258,"EL PEÑON",25
25269,"FACATATIVA",25
25279,"FOMEQUE",25
25281,"FOSCA",25
25286,"FUNZA",25
25288,"FUQUENE",25
25293,"GACHALA",25
25295,"GACHANCIPA",25
25297,"GACHETA",25
25299,"GAMA",25
25307,"GIRARDOT",25
25312,"GRANADA",25
25317,"GUACHETA",25
25322,"GUASCA",25
25324,"GUATAQUI",25
25326,"GUATAVITA",25
25328,"GUAYABAL DE SIQUIMA",25
25335,"GUAYABETAL",25
25368,"JERUSALEN",25
25372,"JUNIN",25
25377,"LA CALERA",25
25386,"LA MESA",25
25394,"LA PALMA",25
25402,"LA VEGA",25
25407,"LENGUAZAQUE",25
25426,"MACHETA",25
25436,"MANTA",25
25438,"MEDINA",25
25473,"MOSQUERA",25
25483,"NARIÑO",25
25486,"NEMOCON",25
25488,"NILO",25
25489,"NIMAIMA",25
25491,"NOCAIMA",25
25506,"OSPINA PEREZ (VENECIA)",25
25513,"PACHO",25
25524,"PANDI",25
25535,"PASCA",25
25572,"PUERTO SALGAR",25
25592,"QUEBRADANEGRA",25
25594,"QUETAME",25
25596,"QUIPILE",25
25599,"RAFAEL REYES (APULO)",25
25612,"RICAURTE",25
25645,"SAN ANTONIO DE TEQUENDAMA",25
25649,"SAN BERNARDO",25
25653,"SAN CAYETANO",25
25658,"SAN FRANCISCO",25
25662,"SAN JUAN DE RIO SECO",25
25718,"SASAIMA",25
25736,"SESQUILE",25
25743,"SILVANIA",25
25745,"SIMIJACA",25
25754,"SOACHA",25
25758,"SOPO",25
25769,"SUBACHOQUE",25
25772,"SUESCA",25
25777,"SUPATA",25
25779,"SUSA",25
25781,"SUTATAUSA",25
25785,"TABIO",25
25793,"TAUSA",25
25797,"TENA",25
25799,"TENJO",25
25805,"TIBACUY",25
25807,"TIBIRITA",25
25815,"TOCAIMA",25
25817,"TOCANCIPA",25
25839,"UBALA",25
25841,"UBAQUE",25
25843,"UBATE",25
25845,"UNE",25
25851,"UTICA",25
25862,"VERGARA",25
25867,"VIANI",25
25873,"VILLAPINZON",25
25875,"VILLETA",25
25878,"VIOTA",25
25885,"YACOPI",25
25898,"ZIPACON",25
25899,"ZIPAQUIRA",25
27001,"QUIBDO",27
27006,"ACANDI",27
27025,"ALTO BAUDO (PIE DE PATO)",27
27073,"BAGADO",27
27075,"BAHIA SOLANO (MUTIS)",27
27077,"BAJO BAUDO (PIZARRO)",27
27099,"BOJAYA (BELLAVISTA)",27
27135,"CANTON DE SAN PABLO (MANAGRU)",27
27205,"CONDOTO",27
27245,"EL CARMEN DE ATRATO",27
27361,"ITSMINA",27
27372,"JURADO",27
27413,"LLORO",27
27491,"NOVITA",27
27495,"NUQUI",27
27615,"RIOSUCIO",27
27745,"SIPI",27
27787,"TADO",27
41001,"NEIVA",41
41006,"ACEVEDO",41
41013,"AGRADO",41
41016,"AIPE",41
41026,"ALTAMIRA",41
41078,"BARAYA",41
41132,"CAMPOALEGRE",41
41206,"COLOMBIA",41
41244,"ELIAS",41
41298,"GARZON",41
41306,"GIGANTE",41
41319,"GUADALUPE",41
41349,"HOBO",41
41357,"IQUIRA",41
41359,"ISNOS (SAN JOSE DE ISNOS)",41
41378,"LA ARGENTINA",41
41396,"LA PLATA",41
41483,"NATAGA",41
41503,"OPORAPA",41
41518,"PAICOL",41
41524,"PALERMO",41
41548,"PITAL",41
41551,"PITALITO",41
41615,"RIVERA",41
41668,"SAN AGUSTIN",41
41676,"SANTA MARIA",41
41791,"TARQUI",41
41797,"TESALIA",41
41799,"TELLO",41
41801,"TERUEL",41
41807,"TIMANA",41
41872,"VILLAVIEJA",41
41885,"YAGUARA",41
44001,"RIOHACHA",44
44035,"ALBANIA",44
44078,"BARRANCAS",44
44098,"DISTRACCION",44
44279,"FONSECA",44
44378,"HATONUEVO",44
44847,"URIBIA",44
44855,"URUMITA",44
44874,"VILLANUEVA",44
47001,"SANTA MARTA",47
47053,"ARACATACA",47
47058,"ARIGUANI (EL DIFICIL)",47
47161,"CERRO SAN ANTONIO",47
47189,"CIENAGA",47
47205,"CONCORDIA",47
47245,"EL BANCO",47
47258,"EL PIÑON",47
47268,"EL RETEN",47
47288,"FUNDACION",47
47318,"GUAMAL",47
47541,"PEDRAZA",47
47545,"PIJIÑO DEL CARMEN (PIJIÑO)",47
47551,"PIVIJAY",47
47555,"PLATO",47
47605,"REMOLINO",47
47675,"SALAMINA",47
47692,"SAN SEBASTIAN DE BUENAVISTA",47
47703,"SAN ZENON",47
47707,"SANTA ANA",47
47745,"SITIO NUEVO",47
47798,"TENERIFE",47
50001,"VILLAVICENCIO",50
50006,"ACACIAS",50
50124,"CABUYARO",50
50223,"CUBARRAL",50
50226,"CUMARAL",50
50245,"EL CALVARIO",50
50251,"EL CASTILLO",50
50287,"FUENTE DE ORO",50
50313,"GRANADA",50
50318,"GUAMAL",50
50325,"MAPIRIPAN",50
50568,"PUERTO GAITAN",50
50573,"PUERTO LOPEZ",50
50577,"PUERTO LLERAS",50
50606,"RESTREPO",50
50683,"SAN JUAN DE ARAMA",50
50689,"SAN MARTIN",50
50711,"VISTAHERMOSA",50
52001,"PASTO",52
52019,"ALBAN (SAN JOSE)",52
52022,"ALDANA",52
52036,"ANCUYA",52
52051,"ARBOLEDA (BERRUECOS)",52
52079,"BARBACOAS",52
52083,"BELEN",52
52203,"COLON (GENOVA)",52
52207,"CONSACA",52
52215,"CORDOBA",52
52224,"CUASPUD (CARLOSAMA)",52
52227,"CUMBAL",52
52233,"CUMBITARA",52
52254,"EL PEÑOL",52
52256,"EL ROSARIO",52
52258,"EL TABLON",52
52287,"FUNES",52
52317,"GUACHUCAL",52
52323,"GUALMATAN",52
52352,"ILES",52
52354,"IMUES",52
52356,"IPIALES",52
52378,"LA CRUZ",52
52381,"LA FLORIDA",52
52385,"LA LLANADA",52
52399,"LA UNION",52
52405,"LEIVA",52
52411,"LINARES",52
52418,"LOS ANDES (SOTOMAYOR)",52
52427,"MAGUI (PAYAN)",52
52435,"MALLAMA (PIEDRANCHA)",52
52473,"MOSQUERA",52
52506,"OSPINA",52
52565,"PROVIDENCIA",52
52573,"PUERRES",52
52585,"PUPIALES",52
52612,"RICAURTE",52
52621,"ROBERTO PAYAN (SAN JOSE)",52
52678,"SAMANIEGO",52
52683,"SANDONA",52
52685,"SAN BERNARDO",52
52687,"SAN LORENZO",52
52693,"SAN PABLO",52
52694,"SAN PEDRO DE CARTAGO",52
52696,"SANTA BARBARA (ISCUANDE)",52
52699,"SANTA CRUZ (GUACHAVES)",52
52786,"TAMINANGO",52
52788,"TANGUA",52
52835,"TUMACO",52
52838,"TUQUERRES",52
52885,"YACUANQUER",52
54001,"CUCUTA",54
54003,"ABREGO",54
54051,"ARBOLEDAS",54
54099,"BOCHALEMA",54
54109,"BUCARASICA",54
54125,"CACOTA",54
54128,"CACHIRA",54
54172,"CHINACOTA",54
54174,"CHITAGA",54
54206,"CONVENCION",54
54223,"CUCUTILLA",54
54239,"DURANIA",54
54245,"EL CARMEN",54
54261,"EL ZULIA",54
54313,"GRAMALOTE",54
54344,"HACARI",54
54347,"HERRAN",54
54377,"LABATECA",54
54385,"LA ESPERANZA",54
54398,"LA PLAYA",54
54405,"LOS PATIOS",54
54418,"LOURDES",54
54498,"OCAÑA",54
54518,"PAMPLONA",54
54553,"PUERTO SANTANDER",54
54599,"RAGONVALIA",54
54673,"SAN CAYETANO",54
54743,"SILOS",54
54871,"VILLA CARO",54
54874,"VILLA DEL ROSARIO",54
63001,"ARMENIA",63
63111,"BUENAVISTA",63
63212,"CORDOBA",63
63272,"FILANDIA",63
63302,"GENOVA",63
63401,"LA TEBAIDA",63
63548,"PIJAO",63
63594,"QUIMBAYA",63
66001,"PEREIRA",66
66045,"APIA",66
66075,"BALBOA",66
66088,"BELEN DE UMBRIA",66
66318,"GUATICA",66
66383,"LA CELIA",66
66456,"MISTRATO",66
66572,"PUEBLO RICO",66
66594,"QUINCHIA",66
66682,"SANTA ROSA DE CABAL",66
66687,"SANTUARIO",66
68001,"BUCARAMANGA",68
68013,"AGUADA",68
68051,"ARATOCA",68
68077,"BARBOSA",68
68079,"BARICHARA",68
68081,"BARRANCABERMEJA",68
68092,"BETULIA",68
68101,"BOLIVAR",68
68132,"CALIFORNIA",68
68147,"CAPITANEJO",68
68152,"CARCASI",68
68162,"CERRITO",68
68167,"CHARALA",68
68169,"CHARTA",68
68176,"CHIMA",68
68179,"CHIPATA",68
68207,"CONCEPCION",68
68209,"CONFINES",68
68211,"CONTRATACION",68
68217,"COROMORO",68
68229,"CURITI",68
68235,"EL CARMEN DE CHUCURI",68
68245,"EL GUACAMAYO",68
68255,"EL PLAYON",68
68264,"ENCINO",68
68266,"ENCISO",68
68271,"FLORIAN",68
68276,"FLORIDABLANCA",68
68296,"GALAN",68
68298,"GAMBITA",68
68307,"GIRON",68
68318,"GUACA",68
68322,"GUAPOTA",68
68324,"GUAVATA",68
68327,"GUEPSA",68
68344,"HATO",68
68368,"JESUS MARIA",68
68377,"LA BELLEZA",68
68385,"LANDAZURI",68
68397,"LA PAZ",68
68406,"LEBRIJA",68
68418,"LOS SANTOS",68
68425,"MACARAVITA",68
68432,"MALAGA",68
68444,"MATANZA",68
68464,"MOGOTES",68
68468,"MOLAGAVITA",68
68498,"OCAMONTE",68
68502,"ONZAGA",68
68522,"PALMAR",68
68524,"PALMAS SOCORRO",68
68533,"PARAMO",68
68547,"PIEDECUESTA",68
68549,"PINCHOTE",68
68572,"PUENTE NACIONAL",68
68573,"PUERTO PARRA",68
68575,"PUERTO WILCHES",68
68615,"RIONEGRO",68
68655,"SABANA DE TORRES",68
68669,"SAN ANDRES",68
68673,"SAN BENITO",68
68679,"SAN GIL",68
68682,"SAN JOAQUIN",68
68684,"SAN JOSE DE MIRANDA",68
68686,"SAN MIGUEL",68
68689,"SAN VICENTE DE CHUCURI",68
68705,"SANTA BARBARA",68
68745,"SIMACOTA",68
68755,"SOCORRO",68
68773,"SUCRE",68
68855,"VALLE DE SAN JOSE",68
68861,"VELEZ",68
68867,"VETAS",68
68872,"VILLANUEVA",68
68895,"ZAPATOCA",68
70001,"SINCELEJO",70
70124,"CAIMITO",70
70204,"COLOSO (RICAURTE)",70
70215,"COROZAL",70
70221,"COVEÑAS",70
70233,"EL ROBLE",70
70235,"GALERAS (NUEVA GRANADA)",70
70265,"GUARANDA",70
70418,"LOS PALMITOS",70
70429,"MAJAGUAL",70
70473,"MORROA",70
70508,"OVEJAS",70
70523,"PALMITO",70
70678,"SAN BENITO ABAD",70
70702,"SAN JUAN DE BETULIA",70
70708,"SAN MARCOS",70
70713,"SAN ONOFRE",70
70717,"SAN PEDRO",70
70742,"SINCE",70
70771,"SUCRE",70
70823,"TOLUVIEJO",70
73001,"IBAGUE",73
73024,"ALPUJARRA",73
73026,"ALVARADO",73
73043,"ANZOATEGUI",73
73055,"ARMERO (GUAYABAL)",73
73067,"ATACO",73
73124,"CAJAMARCA",73
73148,"CARMEN DE APICALA",73
73152,"CASABIANCA",73
73168,"CHAPARRAL",73
73217,"COYAIMA",73
73226,"CUNDAY",73
73236,"DOLORES",73
73268,"ESPINAL",73
73275,"FLANDES",73
73283,"FRESNO",73
73319,"GUAMO",73
73347,"HERVEO",73
73349,"HONDA",73
73352,"ICONONZO",73
73408,"LERIDA",73
